"country","emissions_tons_co2_2000","emissions_tons_co2_2023","percentage_change"
"Afghanistan","760",8672,"1041.05"
"Albania","3170",4536,"43.09"
"Algeria","80050",150006,"87.39"
"Angola","16200",34693,"114.15"
"Antigua and Barbuda","330",557,"68.79"
"Argentina","132270",201348,"52.22"
"Armenia","3560",5156,"44.83"
"Australia","339450",375908,"10.74"
"Austria","63530",61448,"-3.28"
"Azerbaijan","27690",38,"-99.86"
"Bahrain","15880",31694,"99.58"
"Bangladesh","21650",84246,"289.13"
"Barbados","1240",1276,"2.90"
"Belarus","52940",58,"-99.89"
"Belgium","117270",96889,"-17.38"
"Belize","450",568,"26.22"
"Benin","1420",6476,"356.06"
"Bhutan","210",1261,"500.48"
"Bosnia and Herzegovina","13960",21848,"56.50"
"Botswana","4030",6,"-99.85"
"Brazil","313670",462299,"47.38"
"Bulgaria","43420",41708,"-3.94"
"Burkina Faso","940",3418,"263.62"
"Burundi","260",495,"90.38"
"Cambodia","1960",9919,"406.07"
"Cameroon","5210",8291,"59.14"
"Canada","514220",544894,"5.97"
"Central African Republic","240",297,"23.75"
"Chad","290",1016,"250.34"
"Chile","50420",85822,"70.21"
"China","3.34653e+06",9893038,"195.62"
"Colombia","58340",97814,"67.66"
"Comoros","100",202,"102.00"
"Costa Rica","4950",8023,"62.08"
"Croatia","18040",17488,"-3.06"
"Cuba","28350",28284,"-0.23"
"Cyprus","7130",6626,"-7.07"
"Czech Republic","123170",102218,"-17.01"
"Democratic Republic of the Congo",NULL,2021,NULL
"Denmark","52600",31786,"-39.57"
"Djibouti","370",620,"67.57"
"Dominica","130",180,"38.46"
"Dominican Republic","18670",25258,"35.29"
"Ecuador","22050",41155,"86.64"
"Egypt",NULL,239,NULL
"El Salvador","5630",7169,"27.34"
"Equatorial Guinea","2220",5655,"154.73"
"Eritrea","640",711,"11.09"
"Estonia","14920",17,"-99.89"
"Eswatini","690",NULL,NULL
"Ethiopia","3560",15,"-99.58"
"Fiji","810",2046,"152.59"
"Finland","55100",45871,"-16.75"
"France","373120",303276,"-18.72"
"Gabon","6080",5321,"-12.48"
"Georgia","4770",10128,"112.33"
"Germany","830280",727973,"-12.32"
"Ghana","5740",17,"-99.70"
"Greece","94460",62434,"-33.90"
"Grenada","210",268,"27.62"
"Guatemala","9420",16777,"78.10"
"Guinea","1490",2996,"101.07"
"Guinea-Bissau","150",293,"95.33"
"Guyana","1660",2384,"43.61"
"Haiti","1470",2978,"102.59"
"Honduras","4990",9813,"96.65"
"Hungary","54630",45537,"-16.64"
"Iceland","2230",2065,"-7.40"
"India","937860",2407672,"156.72"
"Indonesia","280650",563325,"100.72"
"Iraq","87630",190061,"116.89"
"Israel","57000",65166,"14.33"
"Italy","436300",320411,"-26.56"
"Jamaica","10060",8225,"-18.24"
"Japan","1.18261e+06",1135886,"-3.95"
"Jordan","16270",25108,"54.32"
"Kazakhstan","120150",247207,"105.75"
"Kenya","8320",18,"-99.78"
"Kiribati","30",66,"120.00"
"Kuwait","49840",98734,"98.10"
"Kyrgyzstan",NULL,9787,NULL
"Latvia","6930",7004,"1.07"
"Lebanon","15670",24796,"58.24"
"Lesotho","390",2512,"544.10"
"Liberia","430",1386,"222.33"
"Libya","44720",50564,"13.07"
"Lithuania","10510",12963,"23.34"
"Luxembourg","8560",8988,"5.00"
"Madagascar","1650",3905,"136.67"
"Malawi","710",1298,"82.82"
"Malaysia","124360",248289,"99.65"
"Maldives","460",1445,"214.13"
"Mali","1410",3179,"125.46"
"Malta","2130",1342,"-37.00"
"Mauritania","1270",2739,"115.67"
"Mauritius","2430",4349,"78.97"
"Mexico","379180",486406,"28.28"
"Mongolia","9000",25368,"181.87"
"Morocco","32880",61276,"86.36"
"Mozambique","1430",7943,"455.45"
"Myanmar","9440",25,"-99.74"
"Namibia","1940",4228,"117.94"
"Nauru","90",NULL,NULL
"Nepal","3220",9105,"182.76"
"Netherlands","162100",171,"-99.89"
"New Zealand","29450",34382,"16.75"
"Nicaragua","3770",5592,"48.33"
"Niger","670",2017,"201.04"
"Nigeria","97220",120369,"23.81"
"North Macedonia","8760",NULL,NULL
"Norway","34290",41023,"19.64"
"Oman","25110",63457,"152.72"
"Pakistan","98370",201,"-99.80"
"Panama","5280",10715,"102.94"
"Papua New Guinea","2830",7536,"166.29"
"Paraguay","3520",7407,"110.43"
"Peru","28630",57414,"100.54"
"Philippines","72100",122287,"69.61"
"Poland","295770",299037,"1.10"
"Portugal","61660",48742,"-20.95"
"Qatar","28660",103259,"260.29"
"Republic of Ireland","42530",37711,"-11.33"
"Romania","89020",69259,"-22.20"
"Rwanda","540",1115,"106.48"
"Saint Kitts and Nevis",NULL,238,NULL
"Saint Lucia",NULL,414,NULL
"Saint Vincent and the Grenadines",NULL,220,NULL
"Samoa","150",246,"64.00"
"Sao Tome and Principe","50",121,"142.00"
"Saudi Arabia","249660",563449,"125.69"
"Senegal","4060",10902,"168.52"
"Seychelles","290",605,"108.62"
"Sierra Leone","330",1093,"231.21"
"Singapore","42120",37535,"-10.89"
"Slovakia",NULL,32424,NULL
"Slovenia","14540",12633,"-13.12"
"Solomon Islands","240",169,"-29.58"
"Somalia","490",645,"31.63"
"South Africa","284660",476644,"67.44"
"Spain","293310",244002,"-16.81"
"Sri Lanka","10930",23362,"113.74"
"Sudan","5690",20,"-99.65"
"Suriname","1480",1738,"17.43"
"Sweden","53280",43252,"-18.82"
"Switzerland","43710",34477,"-21.12"
"Tajikistan","2200",5,"-99.77"
"Thailand","164490",283763,"72.51"
"The Bahamas",NULL,1786,NULL
"The Gambia",NULL,532,NULL
"Togo","1270",3,"-99.76"
"Tonga","100",128,"28.00"
"Trinidad and Tobago","10200",43868,"330.08"
"Tunisia","20700",29937,"44.62"
"Turkey",NULL,372725,NULL
"Turkmenistan","38510",71,"-99.82"
"Tuvalu","10",11,"10.00"
"Uganda","1300",6,"-99.54"
"Ukraine","297380",202,"-99.93"
"United Arab Emirates","84730",206324,"143.51"
"United Kingdom","530890",379025,"-28.61"
"United States","5.77581e+06",5006302,"-13.32"
"Uruguay","5460",6766,"23.92"
"Uzbekistan","123810",91811,"-25.85"
"Vanuatu","90",147,"63.33"
"Yemen",NULL,10609,NULL
"Zambia","1810",5141,"184.03"
"Zimbabwe","13700",10983,"-19.83"
